index,query,latency_ms,hit
890,水电燃气方面花了多少钱,16,True
891,家庭支出清单,15,True
892,国家电网电费多少钱,15,True
893,最近的家庭支出记录,16,True
894,话费账单明细,14,True
895,2026年4月水电燃气支出,16,True
896,物业费是多少,15,True
897,燃气费账单,15,True
898,家庭月度开销汇总,16,True
899,电费和水费记录,15,True
900,水电燃气方面花了多少钱,15,True
901,家庭支出清单,16,True
902,国家电网电费多少钱,14,True
903,最近的家庭支出记录,31,True
904,话费账单明细,15,True
905,2026年4月水电燃气支出,0,True
906,物业费是多少,31,True
907,燃气费账单,15,True
908,家庭月度开销汇总,16,True
909,电费和水费记录,14,True
910,水电燃气方面花了多少钱,16,True
911,家庭支出清单,15,True
912,国家电网电费多少钱,15,True
913,最近的家庭支出记录,16,True
914,话费账单明细,15,True
915,2026年4月水电燃气支出,15,True
916,物业费是多少,30,True
917,燃气费账单,16,True
918,家庭月度开销汇总,15,True
919,电费和水费记录,15,True
920,水电燃气方面花了多少钱,0,True
921,家庭支出清单,31,True
922,国家电网电费多少钱,15,True
923,最近的家庭支出记录,16,True
924,话费账单明细,14,True
925,2026年4月水电燃气支出,16,True
926,物业费是多少,15,True
927,燃气费账单,15,True
928,家庭月度开销汇总,16,True
929,电费和水费记录,15,True
930,水电燃气方面花了多少钱,15,True
931,家庭支出清单,30,True
932,国家电网电费多少钱,16,True
933,最近的家庭支出记录,15,True
934,话费账单明细,15,True
935,2026年4月水电燃气支出,16,True
936,物业费是多少,15,True
937,燃气费账单,15,True
938,家庭月度开销汇总,16,True
939,电费和水费记录,14,True
940,水电燃气方面花了多少钱,16,True
941,家庭支出清单,15,True
942,国家电网电费多少钱,15,True
943,最近的家庭支出记录,16,True
944,话费账单明细,15,True
945,2026年4月水电燃气支出,15,True
946,物业费是多少,16,True
947,燃气费账单,14,True
948,家庭月度开销汇总,31,True
949,电费和水费记录,15,True
950,水电燃气方面花了多少钱,16,True
951,家庭支出清单,15,True
952,国家电网电费多少钱,15,True
953,最近的家庭支出记录,16,True
954,话费账单明细,14,True
955,2026年4月水电燃气支出,16,True
956,物业费是多少,15,True
957,燃气费账单,15,True
958,家庭月度开销汇总,31,True
959,电费和水费记录,15,True
960,水电燃气方面花了多少钱,16,True
961,家庭支出清单,14,True
962,国家电网电费多少钱,16,True
963,最近的家庭支出记录,15,True
964,话费账单明细,15,True
965,2026年4月水电燃气支出,16,True
966,物业费是多少,15,True
967,燃气费账单,15,True
968,家庭月度开销汇总,16,True
969,电费和水费记录,30,True
970,水电燃气方面花了多少钱,15,True
971,家庭支出清单,15,True
972,国家电网电费多少钱,16,True
973,最近的家庭支出记录,15,True
974,话费账单明细,15,True
975,2026年4月水电燃气支出,16,True
976,物业费是多少,14,True
977,燃气费账单,16,True
978,家庭月度开销汇总,15,True
979,电费和水费记录,15,True
980,水电燃气方面花了多少钱,31,True
981,家庭支出清单,15,True
982,国家电网电费多少钱,16,True
983,最近的家庭支出记录,14,True
984,话费账单明细,16,True
985,2026年4月水电燃气支出,15,True
986,物业费是多少,15,True
987,燃气费账单,16,True
988,家庭月度开销汇总,15,True
989,电费和水费记录,15,True
990,水电燃气方面花了多少钱,16,True
991,家庭支出清单,30,True
992,国家电网电费多少钱,15,True
993,最近的家庭支出记录,15,True
994,话费账单明细,16,True
995,2026年4月水电燃气支出,15,True
996,物业费是多少,15,True
997,燃气费账单,16,True
998,家庭月度开销汇总,14,True
999,电费和水费记录,16,True
